Vārds, uzvārds	Kandidātu saraksts	Vēlēšanu apgabals	Kārtas nr. sarakstā	Dzimšanas gads	Darbavieta / nodarbošanās	Amats
Didzis Birznieks	12 "Latviešu Nacionālisti"	Rīga	11	1959	Apgāds "Kamene"	Vadītājs, Ssholler Allibert iekārtu operators
Einārs Bistrovs	15 Politiskā partija "KPV LV"	Latgale	13	1997	SIA "MIDIS"	Programmētājs
Inga Bite	11 Latvijas Reģionu Apvienība	Zemgale	1	1981	Latvijas Republikas Saeima	deputāte
Jānis Bite	11 Latvijas Reģionu Apvienība	Zemgale	17	1960	Salas novada pašvaldība	deputāts
Mārtiņš Bitenieks	8 No sirds Latvijai	Vidzeme	7	1993	SIA "Brīvzemnieki"	Valdes loceklis
Elīna Bīviņa	13 Jaunā VIENOTĪBA	Rīga	37	1976	Eiropas Parlaments	Deputāta palīgs
Sergejs Blagoveščenskis	16 Zaļo un Zemnieku savienība	Latgale	16	1971	A.S. “Daugavpils satiksme”	Valdes loceklis
Iveta Blaua	13 Jaunā VIENOTĪBA	Vidzeme	12	1969	SIA "Latvijas nacionālais metroloģijas centrs"	Valdes locekle
Dace Bluķe	10 Attīstībai/Par!	Kurzeme	2	1973	Biedrība "Latvijas Radošo savienību padome"	Valdes priekšsēdētāja
Dagnija Blumberga	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	20	1945	Rīgas Tehniskā universitāte	Profesore un Vides aizsardzības un siltuma sistēmu institūta direktore
Aldis Blumbergs	15 Politiskā partija "KPV LV"	Vidzeme	3	1969	Individuālā prakse	Zvērināts advokāts
Zigurds Blūms	8 No sirds Latvijai	Kurzeme	5	1954	SIA " OMS"	Elektromontieris
Irina Bobkova	1 "Latvijas Krievu savienība"	Rīga	2	1967	Latvijas Krievu savienība	Valdes locekle
Ēvalds Bobovičs	3 Rīcības partija	Zemgale	4	1963	SIA "DATO trans"	vaditaijs
Lauris Bokišs	10 Attīstībai/Par!	Rīga	13	1982	Biedrība "Tēvi"	Brīvprātīgais
Inesis Boķis	16 Zaļo un Zemnieku savienība	Vidzeme	7	1952	LR Saeima	Deputāts
Kārlis Boldiševics	16 Zaļo un Zemnieku savienība	Rīga	38	1969	Latvijas Zvērinātu advokātu kolēģija	Advokāts
Arnis Bole	15 Politiskā partija "KPV LV"	Vidzeme	6	1982	Sabiedrība ar ierobežotu atbildību "JAUNLAIMĪTES"	Valdes priekšsēdētājs
Andrejs Bondarevs	9 "Saskaņa" sociāldemokrātiskā partija	Latgale	13	1977	Līvānu novada dome	Deputāts
Aldis Bondars	10 Attīstībai/Par!	Vidzeme	27	1967	VM Centrālvidzemes virsmežniecība	Vecākais mežzinis
Mārtiņš Bondars	10 Attīstībai/Par!	Latgale	1	1971	Rīgas dome	Deputāts
Eduards Bonders	1 "Latvijas Krievu savienība"	Vidzeme	8	1979	Paragon offshore	Materiālu un loģistikas koordinators
Jānis Bordāns	2 Jaunā konservatīvā partija	Vidzeme	1	1967	Rīgas dome	Rīgas domes deputāts
Daina Bordovska	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Latgale	10	1957	Viļānu bērnu un jauniešu invalīdu biedrība ''Saulstariņi''	Valdes priekšsēdētāja
Maksims Borisevičs	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	17	1982	SIA "FW Boards"	Iepirkšanas-realizācijas menedžeris
Konstantīns Boroņins	1 "Latvijas Krievu savienība"	Kurzeme	7	1979	Garāžu īpašnieku kooperatīvā sabiedrība "Karostas Bāka"	Valdes priekšsēdētājs
Katrīna Borozdina	11 Latvijas Reģionu Apvienība	Vidzeme	24	1983	Salacgrīvas novada Mūzikas skola	Direktore
Ilgvars Brakovskis	2 Jaunā konservatīvā partija	Rīga	14	1972	ZTI Aigas Augustovas birojs	Jurists
Anna Braķe	10 Attīstībai/Par!	Rīga	29	1977	SIA "Bendikas Kantoris Plus"	Valdes locekle
Rudīte Bramane	3 Rīcības partija	Kurzeme	7	1956	SIA "COPs"	Apsargs
Roberts Bramanis	3 Rīcības partija	Zemgale	5	1956	SIA "COPs"	Apsargs
Ieva Brante	11 Latvijas Reģionu Apvienība	Rīga	1	1979	Individuāli praktizējoša	juriste
Didzis Brants	2 Jaunā konservatīvā partija	Latgale	12	1964	"Prometal Group" SIA	Tehniskais direktors
Guntars Brauns	11 Latvijas Reģionu Apvienība	Rīga	37	1980	GRIFS AG SIA	Tirdzniecības un attīstības departamenta direktors
Romunds Brālis	8 No sirds Latvijai	Kurzeme	8	1968	Pašnodarbinātais – tūrisms, alternatīvā medicīna	
Inta Brence	10 Attīstībai/Par!	Latgale	2	1972	Viļānu Mūzikas un mākslas skola	Direktore
Raivis Bresis	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	21	1985	Patērētāju tiesību aizsardzības centrs	Tehnisko preču uzraudzības daļas vecākais inspektors
Uvis Briedis	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	38	1972	AS "VIRŠI-A"	Datu aizsardzības speciālists
Vilnis Briedis	3 Rīcības partija	Rīga	20	1969	AS LIDO	krāvējs
Augusts Brigmanis	16 Zaļo un Zemnieku savienība	Zemgale	1	1952	LR Saeima	Deputāts
Jānis Brikmanis	12 "Latviešu Nacionālisti"	Vidzeme	10	1940	Pensionārs/pensionāre	
Māris Brikmanis	3 Rīcības partija	Kurzeme	5	1957	SIA "COPs"	Apsargs
Rolands Brikmanis	8 No sirds Latvijai	Rīga	26	1982	Biedrība „Dzintarkrasta serviss”, Sociālās aprūpes centrs „Liepa”	Vecākais sociālais darbinieks
Ivars Brīvers	11 Latvijas Reģionu Apvienība	Rīga	8	1957	Banku augstskola	pētnieks
Laura Brīvība	10 Attīstībai/Par!	Rīga	27	1981	SIA "Visma Enterprise"	Mārketinga un sabiedrisko attiecību vadītāja
Vjačeslavs Brjankins	3 Rīcības partija	Rīga	5	1966	Biedriba " Apsaimniekošanas speciālisti"	Biedribas priekšsēdētais
Aigars Brokāns	8 No sirds Latvijai	Zemgale	15	1981	Bezdarbnieks/bezdarbniece	
Jānis Brūklis	15 Politiskā partija "KPV LV"	Kurzeme	14	1981	SIA "pro CAD"	Būvuzraugs
Didzis Brūklītis	13 Jaunā VIENOTĪBA	Rīga	17	1982	LR Ekonomikas ministrija	Nodaļas vadītājs
Eduards Brūniņš	2 Jaunā konservatīvā partija	Latgale	15	1964	Latvijas Aizsargu organizācija	Valdes loceklis
Aldis Brūvers	2 Jaunā konservatīvā partija	Latgale	9	1958	"Satina" SIA	Valdes priekšsēdētājs, rīkotājdirektors
Uldis Budriķis	2 Jaunā konservatīvā partija	Kurzeme	4	1991	"Hubbs" SIA	Valdes priekšsēdētājs
Gita Buiķe	10 Attīstībai/Par!	Vidzeme	26	1986	SIA "Pūcēnu skola"	Vadītāja, skolotāja
Leonīds Buklovskis	12 "Latviešu Nacionālisti"	Latgale	6	1969	SIA DEPO	Pakalpojumu centra meistars
Aivars Bukovskis	14 Par Alternatīvu	Rīga	16	1958	Bezdarbnieks/bezdarbniece	
Aldis Bukovskis	11 Latvijas Reģionu Apvienība	Rīga	29	1962	Latvijas Republikas Prokuratūra	Prokuratūras darbinieku Personāla nodaļas darba aizsardzības vecākais speciālists
Aigars Bukšs	2 Jaunā konservatīvā partija	Latgale	10	1987	Baltinavas Mūzikas un mākslas skola	Pūšamo instrumentu skolotājs
Alfrēds Buls	12 "Latviešu Nacionālisti"	Vidzeme	1	1960	Pensionārs/pensionāre	
Voldemārs Burģis	13 Jaunā VIENOTĪBA	Rīga	15	1978	Rīgas kooperatīvā krājaizdevu sabiedrība	jurists
Aija Burkevica	2 Jaunā konservatīvā partija	Kurzeme	11	1969	Liepājas vakara (maiņu) vidusskola	Skolotāja
Aleksandrs Buslajevs	10 Attīstībai/Par!	Rīga	32	1983	A/S "Rīgas Taksometru parks"	Autobusu vadītājs
Sergejs Buškovs	16 Zaļo un Zemnieku savienība	Rīga	30	1954	SIA “First Energy”	Jurists
Artūrs Butāns	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Kurzeme	3	1992	SIA "Pepino"	Valdes priekšsēdētājs
Jānis Butāns	2 Jaunā konservatīvā partija	Rīga	8	1978	Centrālā finanšu un līgumu aģentūra	Satiksmes infrastruktūras projektu nodaļas projekta vadītājs
Vladimirs Buzajevs	1 "Latvijas Krievu savienība"	Rīga	6	1951	Latvijas cilvēktiesību komiteja	līdzpriekšsēdētājs
Marika Cakule	8 No sirds Latvijai	Latgale	13	1978	Valsts ieņēmumu dienests	Galvenā nodokļu inspektore
Maruta Castrova	13 Jaunā VIENOTĪBA	Latgale	6	1959	Biedrība „RITINEITIS”, pieaugušo neformālās izglītības centra „Azote”	vadītāja
Guntars Catlaks	13 Jaunā VIENOTĪBA	Rīga	9	1963	Izglītības un zinātnes ministrijas Valsts izglītības satura centrs	Vadītājs
Irina Caune	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	29	1961	RDIKSD Rīgas pirmsskolas izglītības iestāde "Mežrozīte"	Iestādes vadītāja
Inese Caunīte	12 "Latviešu Nacionālisti"	Zemgale	3	1970	Pašnodarbinātā	Tekstilmāksleniece
Andis Caunītis	11 Latvijas Reģionu Apvienība	Vidzeme	6	1971	Gulbenes novada pašvaldība	Domes priekšsēdētāja vietnieks
