Vārds, uzvārds	Kandidātu saraksts	Vēlēšanu apgabals	Kārtas nr. sarakstā	Dzimšanas gads	Darbavieta / nodarbošanās	Amats
Guntis Hartmanis	8 No sirds Latvijai	Kurzeme	12	1963	Bezdarbnieks/bezdarbniece	
Linards Hartmanis	5 "PROGRESĪVIE"	Kurzeme	7	1985	SIA “Daiļrade koks”	Montētājs
Aidis Herings	7 "LSDSP/KDS/GKL"	Kurzeme	6	1958	Saldus novada dome	deputāts
Rinalds Herings	7 "LSDSP/KDS/GKL"	Kurzeme	3	1992	Saldus bērnu un jaunatnes centrs	remontstrādnieks
Vladimirs Hodakovskis	1 "Latvijas Krievu savienība"	Rīga	18	1940	Baltijas Starptautiskā akadēmija	profesors
Nataļja Hohlova	9 "Saskaņa" sociāldemokrātiskā partija	Zemgale	9	1979	SIA "LDM Holding"	Projektu vadītāja
Artūrs Hoļavins	5 "PROGRESĪVIE"	Rīga	14	1989	Eiropas Universitāte Sanktpēterburgā (Krievija)	Pētnieks
Edgars Horns	2 Jaunā konservatīvā partija	Rīga	22	1967	"Cibus Sanus" SIA	Valdes loceklis
Sergejs Hromihs	6 "Latvijas centriskā partija"	Vidzeme	4	1996	SIA SEmarahs hotels	portjē
Asifs Ibragimovs	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	37	1989	SIA "GVATAR"	Pārdevējs
Jānis Iesalnieks	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	7	1984	Tieslietu ministrija	Parlamentārais sekretārs
Svetlana Iftodija	15 Politiskā partija "KPV LV"	Zemgale	9	1992	Māmiņu biedrība ''ATSPULGS''	Valdes priekšsēdētāja
Rasma Igaune	11 Latvijas Reģionu Apvienība	Latgale	16	1966	Gaigalavas pamatskola	skolotāja
Silvija Igaune	7 "LSDSP/KDS/GKL"	Latgale	2	1965	A/S Sentor Farm Aptiekas	farmaceita palīgs
Māris Igavens	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Latgale	4	1976	Rēzeknes Tehnoloģiju akadēmija	Projektu koordinators
Deniss Ignatjevs	1 "Latvijas Krievu savienība"	Zemgale	5	1987	SIA „Avenija VP”	rezerves daļu menedžeris
Inese Ikstena	10 Attīstībai/Par!	Vidzeme	10	1968	SIA "ACT"	Finanšu direktore
Edgars Ikstens	13 Jaunā VIENOTĪBA	Kurzeme	3	1987	Latvijas Republikas Saeima	Frakcijas VIENOTĪBA priekšsēdētāja Hosama Abu Meri palīgs
Reinis Immermanis	15 Politiskā partija "KPV LV"	Kurzeme	8	1991	SIA "KONEKESKO LATVIJA"	Rezerves daļu pārdevējs
Viktors Indričāns	16 Zaļo un Zemnieku savienība	Latgale	15	1955	Malnavas koledža	Direktora vietnieks
Ilze Indriksone	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Kurzeme	1	1974	Talsu novada pašvaldība	Deputāte
Kalvis Irbe	15 Politiskā partija "KPV LV"	Vidzeme	27	1974	SIA VKI	Valdes priekšsēdētājs
Ramona Irbe	11 Latvijas Reģionu Apvienība	Kurzeme	14	1959	SIA “Kuldīgas slimnīca”	Neonatologs,bērnu nodaļas vadītāja
Ingrīda Irša-Podkalne	2 Jaunā konservatīvā partija	Zemgale	16	1975	Baldones PII "Vāverīte"	Skolotāja
Ņina Isačenkova	1 "Latvijas Krievu savienība"	Rīga	25	1951	Biedrība "Kultūras centrs "Vertman"	direktore
Nazira Iso	1 "Latvijas Krievu savienība"	Rīga	24	1953	SIA MEPL	Valdes locekle
Viktors Ivančikovs	1 "Latvijas Krievu savienība"	Zemgale	8	1945	Saimnieciskās darbības veicējs	ārsts
Artis Ivanovs	10 Attīstībai/Par!	Vidzeme	16	1986	SIA "E-Studiju centrs"	Valdes priekšsēdētājs
Gvido Ivanovs	16 Zaļo un Zemnieku savienība	Rīga	26	1962	AS G4S	Objekta vadītājs
Vilis Ivanovskis	3 Rīcības partija	Zemgale	8	1955	Farmācijas muzejs	Eksponātu uzmanīgs
Jurijs Ivaņenko	3 Rīcības partija	Rīga	24	1949	SIA Panda Taxi	vadītājs
Sergejs Ivasjuta	7 "LSDSP/KDS/GKL"	Rīga	15	1975	SIA Prieks Tūre	valdes priekšsēdētājs
Poļina Ivļeva	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	20	1989	Salaspils novada dome	Deputāte
Sofja Ivočkina	1 "Latvijas Krievu savienība"	Latgale	12	1973	SIA "Medikal Plus"	stomatoloģe
Egīls Īverts	16 Zaļo un Zemnieku savienība	Rīga	35	1960	SIA SERVET	Ekonomikas direktors
Aleksandrs Jakimovs	9 "Saskaņa" sociāldemokrātiskā partija	Latgale	8	1961	Latvijas Republikas Saeima	12. Saeimas deputāts
Viktors Jakovļevs	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	7	1963	Stopiņu novada dome	Deputāts
Janīna Jalinska	16 Zaļo un Zemnieku savienība	Latgale	5	1958	Daugavpils novada dome	Priekšsēdētāja
Oskars Janavs	5 "PROGRESĪVIE"	Vidzeme	18	1990	SIA A Aptiekas	Preču izvietošanas speciālists
Sarmīte Janfelde	7 "LSDSP/KDS/GKL"	Rīga	10	1943	Rīgas pašvaldības kultūras iestāžu apvienības organizācija, kultūras centrs “Imanta”	administratore
Artūrs Janiševs	13 Jaunā VIENOTĪBA	Vidzeme	17	1987	Ķekavas novada uzņēmēju padome	Valdes priekšsēdētājs
Jāzeps Janiševs	11 Latvijas Reģionu Apvienība	Vidzeme	11	1955	Vidzemes invalīdu biedrība	valdes priekšsēdētājs
Dzintars Jankavs	13 Jaunā VIENOTĪBA	Vidzeme	25	1983	SIA Dantek	Vecākais pārdevējs
Uģis Jankavs	15 Politiskā partija "KPV LV"	Rīga	16	1956	MILANORIGA SIA	Valdes priekšsēdētājs
Paula Jankovska	5 "PROGRESĪVIE"	Rīga	21	1993	Latvijas Starptautiskā skola	Skolotāja
Guntis Jankovskis	7 "LSDSP/KDS/GKL"	Zemgale	2	1957	Aizkraukles novada pašvaldība	deputāts
Indulis Jankovskis	9 "Saskaņa" sociāldemokrātiskā partija	Kurzeme	7	1968	Baltijas Starptautiskā akadēmija	Vieslektors
Elīna Jansone	5 "PROGRESĪVIE"	Vidzeme	7	1980	Biedrība "Mārupes Nākotnei"	Valdes locekle
Edgars Jansons	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	28	1979	Jurists	
Raimonds Jansons	7 "LSDSP/KDS/GKL"	Vidzeme	16	1937	Saimniecība "Vecpekas"	saimnieciskās darbības veicējs
Ritvars Jansons	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	3	1968	Latvijas Republikas Saeima	Deputāts, Pilsonības, migrācijas un sabiedrības saliedētības komisijas priekšsēdētājs
Mārtiņš Jarohovičs	16 Zaļo un Zemnieku savienība	Vidzeme	25	1983	SIA “FRESH ONE AD”	Valdes loceklis
Viktors Jasiņavičs	9 "Saskaņa" sociāldemokrātiskā partija	Latgale	17	1957	Ilūkstes novada dome	Deputāts
Baiba Jaunalksne	8 No sirds Latvijai	Vidzeme	18	1967	SIA "Hairtex"	Noliktavas pārzine
Modris Jaunups	10 Attīstībai/Par!	Vidzeme	7	1954	Valsts SIA "Autotransporta direkcija"	Valdes loceklis
Juris Jaunzems	8 No sirds Latvijai	Kurzeme	1	1963	SIA "Dzeldas HES"	Valdes priekšsēdētājs
Bruno Javoišs	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	11	1941	Pensionārs/pensionāre	
Edgars Jākobsons	13 Jaunā VIENOTĪBA	Vidzeme	15	1984	TrafoNet SIA	Būvniecības nozares vadītājs
Andris Jefimovs	13 Jaunā VIENOTĪBA	Kurzeme	10	1986	Grobiņas novada dome	Ugunsdzēsības un glābšanas dienesta vadītājs
Irina Jegorova	8 No sirds Latvijai	Latgale	15	1962	Daugavpils pilsētas pašvaldības iestāde “Krievu kultūras centrs”	Lietvedības sekretāre
Gundars Jegors	11 Latvijas Reģionu Apvienība	Rīga	27	1960	Pašnodarbināta persona	
Santa Jelinska	15 Politiskā partija "KPV LV"	Latgale	12	1989	AS "Moda Kapitāls"	Jēkabpils filiāles vadītāja
Tatjana Jemeļjanova	1 "Latvijas Krievu savienība"	Rīga	19	1954	Pensionārs/pensionāre	
Rasma Jēkabsone	10 Attīstībai/Par!	Latgale	5	1992	SIA "TakY IT"	Projektu vadītāja
Alberts Jēkabsons	15 Politiskā partija "KPV LV"	Rīga	29	1991	HERE Latvia SIA	Vietējo karšu operāciju analītiķis II
Armands Jēkabsons	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Kurzeme	14	1984	Grobiņas novada dome	Deputāts
Edgars Jēkabsons	10 Attīstībai/Par!	Rīga	10	1981	SIA "whiteCryption"	Programmētājs
Guntars Jirgensons	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	23	1962	Rīgas 28. vidusskola	Direktors
Ivars Joelis	2 Jaunā konservatīvā partija	Zemgale	8	1983	"Ošukalns" SIA	Prokūrists
Rihards Johansons	11 Latvijas Reģionu Apvienība	Rīga	34	1968	Nekustāmo īpašumu apsaimniekotājs	
Natālija Jolkina	1 "Latvijas Krievu savienība"	Rīga	7	1947	CLSF Latvijas Cilvēktiesību komiteja	līdzpriekšsēdētāja
Viktors Jolkins	1 "Latvijas Krievu savienība"	Vidzeme	12	1976	Latvijas Jaunatnes klubs	Valdes loceklis
Jolanta Jonikāne	8 No sirds Latvijai	Latgale	5	1990	Pašnodarbinātais. Dizainers	
Beata Jonite	15 Politiskā partija "KPV LV"	Rīga	24	1995	Politiskā partija "KPV LV"	Biroja vadītāja
Andrejs Jonkins	8 No sirds Latvijai	Rīga	7	1980	SIA "Redmond Baltic"	Tirgvedības un tirdzniecības speciālists
Andrejs Judins	13 Jaunā VIENOTĪBA	Rīga	4	1970	Latvijas Republikas Saeima	deputāts
Ojārs Judrups	10 Attīstībai/Par!	Rīga	26	1943	Rīgas dome	Deputāts
Juris Jurašs	2 Jaunā konservatīvā partija	Kurzeme	1	1975	Jaunā konservatīvā partija	Valdes loceklis
Eduards Jurčenko	8 No sirds Latvijai	Rīga	34	1990	SIA "Corvus Company"	Valdes priekšsēdētājs
Edmunds Jurēvics	13 Jaunā VIENOTĪBA	Rīga	38	1992	Rīgas dome	Partijas "Vienotība" Rīgas domes deputātu frakcijas referents
Nauris Jurgenbergs	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	18	1988	SIA "COOPERATIVE"	Valdes priekšsēdētājs
Jānis Jurģelis	7 "LSDSP/KDS/GKL"	Vidzeme	11	1968	SIA SCANMED	tirdzniecības speciālists
Atis Jurjāns	12 "Latviešu Nacionālisti"	Vidzeme	4	1991	Pilsonības un migrācijas lietu pārvalde	IT projektu vadītājs / Sistēmanalītiķis
Māris Jurjāns	8 No sirds Latvijai	Rīga	2	1962	SIA "Vipdom"	Nekustamā īpašuma speciālists
Einārs Jurkevičs	9 "Saskaņa" sociāldemokrātiskā partija	Latgale	14	1988	SIA "Transcom Worldwide Latvia"	Poļu grupas vadītājs
Anželika Jurševica	2 Jaunā konservatīvā partija	Latgale	6	1969	Anželikas Jurševicas psihoterapeita privātprakse	Psihoterapeits
Bruno Jurševics	2 Jaunā konservatīvā partija	Kurzeme	5	1962	“TU 176” SIA	Valdes loceklis
Indra Juste-Spila	7 "LSDSP/KDS/GKL"	Rīga	16	1985	SIA Realto MeDea	projektu vadītāja- pārvaldniece
Andrejs Justs	7 "LSDSP/KDS/GKL"	Latgale	9	1957	Dekšāru pamatskola	skolas saimnieks
Romans Justs	15 Politiskā partija "KPV LV"	Rīga	5	1955	Sabiedrība ar ierobežotu atbildību "Oliivija"	Veikala vadītājs
Māra Juzupa	16 Zaļo un Zemnieku savienība	Vidzeme	16	1956	Priekšpensijā	
Nikolajs Kabanovs	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	25	1970	SIA "Media Nams Vesti"	Publicists
Māris Kaijaks	2 Jaunā konservatīvā partija	Rīga	23	1962	"ZPA" SIA	Valdes loceklis
Artuss Kaimiņš	15 Politiskā partija "KPV LV"	Rīga	1	1980	Saeima	Deputāts
Ivo Kalers	10 Attīstībai/Par!	Kurzeme	10	1969	Sabiedrība ar ierobežotu atbildību "ICO"	Valdes loceklis
Edgars Kalējs	10 Attīstībai/Par!	Rīga	21	1983	SIA "Mottra Trade House"	Tirdzniecības vadītājs
Roberts Kalējs	12 "Latviešu Nacionālisti"	Zemgale	4	1951	Rīgas Centrālcietums, Nodrošinājuma daļa	Mantzinis, štata darbinieks
Jānis Kalmēns	14 Par Alternatīvu	Rīga	13	1957	Bezdarbnieks/bezdarbniece	
Jānis Kalnačs	7 "LSDSP/KDS/GKL"	Rīga	8	1943	Fizikālās enerģētikas institūts	nodaļas vadītājs, vadošais pētnieks
Daiga Kalnbērziņa	2 Jaunā konservatīvā partija	Rīga	25	1973	“Latvijas dzelzceļš” VAS	Protokola speciāliste
Dace Kalniņa	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	21	1986	Latvijas Republikas Saeima	Nacionālās apvienības „Visu Latvijai!” – „Tēvzemei un Brīvībai/LNNK” Saeimas frakcijas konsultante
Inese Kalniņa	13 Jaunā VIENOTĪBA	Rīga	14	1967	Latvijas Universitāte	Docente, studiju programmas direktore, pētniece
Inguna Kalniņa	8 No sirds Latvijai	Rīga	5	1960	Rīgas Imantas vidusskola	Direktora vietniece administratīvi saimnieciskajā darbā
Sanita Kalniņa	10 Attīstībai/Par!	Zemgale	7	1980	SIA "Fidabalt international"	Grāmatvedības eksperts
Zanda Kalniņa-Lukaševica	13 Jaunā VIENOTĪBA	Rīga	5	1978	LR Ārlietu ministrija	Parlamentārā sekretāre
Skaidra Kalniņa-Rutuļa	7 "LSDSP/KDS/GKL"	Rīga	6	1958	Latvijas Jūrniecības savienība	sertificēšanas centra vadītāja
Guntis Kalniņš	16 Zaļo un Zemnieku savienība	Zemgale	5	1963	LR Saeima	Deputāts
Imants Kalniņš	16 Zaļo un Zemnieku savienība	Rīga	25	1962	Augusta Dombrovska Mūzikas skola	Direktors
Jurijs Kalniņš	8 No sirds Latvijai	Rīga	14	1960	SIA "Falcon Logistic"	Autovadītājs
Ojārs Ēriks Kalniņš	13 Jaunā VIENOTĪBA	Rīga	6	1949	Saeima	Deputāts
Kaspars Kalnmeiers	2 Jaunā konservatīvā partija	Rīga	21	1974	"Latvijas Valsts ceļi" VAS	Informācijas sistēmu uzturētājs
Valdis Kalnozols	16 Zaļo un Zemnieku savienība	Rīga	9	1962	LR Saeima	Deputāts
Aleksandrs Kalugins	14 Par Alternatīvu	Rīga	7	1983	SIA "TEXMOBILE"	valdes loceklis
Edvīns Kalviņš	13 Jaunā VIENOTĪBA	Rīga	19	1949	Kanādas Tirdzniecības Palāta Latvijā"	Priekšsēdis
Raimonds Kalvišs	9 "Saskaņa" sociāldemokrātiskā partija	Latgale	15	1980	Krāslavas novada dome	Deputāts
Kristīne Kaļiņina	6 "Latvijas centriskā partija"	Rīga	2	1988	SIA STG Grupa	valdes locekle
Nita Kaļva	8 No sirds Latvijai	Rīga	24	1983	SIA „Allnex Latvia”	Klientu apkalpošanas speciālists
Polina Kamļova	1 "Latvijas Krievu savienība"	Latgale	7	1987	Vagonu apkopes distance (Rēzeknes VTAP)	datu ievades operatore
Ainita Kamša	10 Attīstībai/Par!	Latgale	9	1995	Ainas Mucenieces Viroterapijas fonds	Izpilddirektore
Ilze Kanča	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	23	1968	Madonas novada pašvaldības Sociālais dienests	Sociālā darbiniece
Māris Kanders	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	35	1973	SIA "Sajos & Portress"	Valdes priekšsēdētājs
Gints Kapenieks	9 "Saskaņa" sociāldemokrātiskā partija	Kurzeme	15	1962	Privātprakse, Graudu iela 50, Liepāja	Krīzes psihologs
Ruta Karloviča	16 Zaļo un Zemnieku savienība	Kurzeme	12	1960	Latvijas Universitāte	Kuldīgas un Ventspils filiāļu direktore. Biznesa, vadības un ekonomikas fakultātes lektore
Gatis Karlsons	2 Jaunā konservatīvā partija	Rīga	31	1975	Latvijas Nacionālais arhīvs	Direktora vietnieks
Modris Karpovs	9 "Saskaņa" sociāldemokrātiskā partija	Latgale	16	1971	Kārsavas novada dome	Deputāts
Marats Kasems	14 Par Alternatīvu	Vidzeme	2	1990	Rossia Segodja	žurnālists
Tamāra Kaudze	2 Jaunā konservatīvā partija	Kurzeme	9	1977	Dundagas novada pašvaldība	Deputāte
Dace Kavasa	5 "PROGRESĪVIE"	Kurzeme	1	1975	Latvijas Aviācijas arodbiedrība	Valdes priekšsēdētāja
Kristīne Kazāka	10 Attīstībai/Par!	Zemgale	6	1987	Latvijas Pilsoniskā alianse	Sabiedrisko attiecību vadītāja
Kārlis Kazeks	12 "Latviešu Nacionālisti"	Rīga	23	1955	Elektronikas un datorzinātņu institūts	Elektroietaišu ekspluatācijas inženieris
Andris Kazinovskis	2 Jaunā konservatīvā partija	Latgale	2	1959	"Rātnieki" Susāju pagasta zemnieku saimniecība	Īpašnieks, zemnieks
Edgars Kāpa	2 Jaunā konservatīvā partija	Rīga	29	1987	Celtnieks, jaunais uzņēmējs	
Valdis Kārkliņš	16 Zaļo un Zemnieku savienība	Vidzeme	27	1983	Mārupes novada dome	Pašvaldības nekustamo īpašumu pārvaldnieks
Ivars Kekers	8 No sirds Latvijai	Latgale	16	1983	Pašnodarbināts	
Matīss Kempe	11 Latvijas Reģionu Apvienība	Zemgale	12	1989	Rīgas Celtniecības koledža	profesionālās izglītības skolotājs
Modris Kempe	11 Latvijas Reģionu Apvienība	Zemgale	13	1989	Rīgas Celtniecības koledža	profesionālās izglītības skolotājs
Ļubova Kerevica	8 No sirds Latvijai	Rīga	31	1988	SIA "Corvus Company"	Projektu vadītājs
Arvīds Kinstlers	7 "LSDSP/KDS/GKL"	Kurzeme	1	1959	Bezdarbnieks/bezdarbniece	
Anna Kirilova	7 "LSDSP/KDS/GKL"	Rīga	22	1991	Accenture London	vecākais analītiķis
Anna Kirilova	7 "LSDSP/KDS/GKL"	Vidzeme	17	1966	SIA Fitlains	fitnesa trenere
Arina Kirilova	7 "LSDSP/KDS/GKL"	Vidzeme	15	1987	pašnodarbinātais	
Andrejs Kirma	5 "PROGRESĪVIE"	Kurzeme	5	1991	SIA "Evolution Latvia"	UX/UI dizainers
Aleksandrs Kiršteins	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	4	1948	Latvijas Republikas Saeima	Deputāts
Andrejs Kitovs	8 No sirds Latvijai	Latgale	14	1979	SIA "Print & Serviss"	Pārdošanas vadītājs
Andris Kivičs	15 Politiskā partija "KPV LV"	Rīga	9	1977	Sabiedrība ar ierobežotu atbildību "Reklāmas autori"	Raidījuma vadītājs
Aleksandrs Klapins	1 "Latvijas Krievu savienība"	Vidzeme	3	1965	A/S Valmieras Stikla Šķiedra	Elektronikas inženieris
Jānis Klauze	2 Jaunā konservatīvā partija	Vidzeme	7	1975	"Mundus" SIA	Valdes loceklis
Jānis Klaužs	16 Zaļo un Zemnieku savienība	Latgale	4	1953	LR Saeima	Deputāts
Jolanta Klāviņa	11 Latvijas Reģionu Apvienība	Kurzeme	12	1981	"LAUMAS" Zemnieku saimniecība	īpašniece
Nellija Kleinberga	11 Latvijas Reģionu Apvienība	Kurzeme	1	1964	Latvijas Republikas Saeima	Latvijas Reģionu Apvienības frakcijas priekšsēdētāja
Rolands Kleinbergs	11 Latvijas Reģionu Apvienība	Kurzeme	13	1951	Saldus mūzikas skola	teorijas skolotājs
Viesturs Kleinbergs	5 "PROGRESĪVIE"	Rīga	4	1978	Biedrība „Latvijas Samariešu apvienība"	Dienesta “Samariešu atbalsts mājās” vadītājs
Inga Kleinšmite-Zunda	11 Latvijas Reģionu Apvienība	Rīga	28	1973	Rīgas pirmsskolas izglītības iestāde "Kadiķītis"	Pirmsskolas skolotāja
Andrejs Klementjevs	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	3	1973	Latvijas Republikas Saeima	12. Saeimas deputāts
Ivans Klementjevs	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	15	1960	Latvijas Republikas Saeima	12. Saeimas deputāts
Marita Klikiča	2 Jaunā konservatīvā partija	Rīga	16	1971	"Andžeja Grauda bungu skola" SIA	Juriste
Vilhelms Klincāns	12 "Latviešu Nacionālisti"	Latgale	4	1937	"VK- AUTO" IK	Īpašnieks
Elīna Klīve	10 Attīstībai/Par!	Rīga	11	1983	Konrāda Adenauera fonds	Projektu vadītāja
Jurģis Klotiņš	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	8	1985	Rīgas dome	Deputāts (Sociālo jautājumu komitejas, Satiksmes un transporta lietu komitejas un Rīgas domes Pieminekļu padomes loceklis)
Arvīds Kļavinskis	12 "Latviešu Nacionālisti"	Rīga	18	1953	Ādažu PII	Ēkas dežurants
Dace Kļaviņa	13 Jaunā VIENOTĪBA	Vidzeme	14	1976	Labklājības ministrija	Juridiskā departamenta direktore
Elīna Kļaviņa	5 "PROGRESĪVIE"	Rīga	30	1984	SIA “Inspired”	Projektu vadītāja
Artūrs Kļaviņš	10 Attīstībai/Par!	Zemgale	15	1991	SIA "Meditec"	Projektu vadītāja asistents
Artūrs Kļaviņš	15 Politiskā partija "KPV LV"	Rīga	17	1986	SIA "AQUA LUNA"	Vecākais bārmenis
Jānis Kļaviņš	16 Zaļo un Zemnieku savienība	Kurzeme	4	1974	SIA ”Explore Latvija”	Valdes loceklis
Jānis Kņazs	2 Jaunā konservatīvā partija	Rīga	35	1987	"Lidosta Rīga" VAS	Gaisa kuģu apkalpes aģents
Anita Kokarēviča	7 "LSDSP/KDS/GKL"	Rīga	11	1966	Rīgas Stradiņa universitāte	lektore
Inguna Kokina	13 Jaunā VIENOTĪBA	Latgale	3	1961	PIKC DDMV Saules skola	direktore
Raimonds Kokins	12 "Latviešu Nacionālisti"	Rīga	22	1958	Sabiedrība AGIKS Pārdaugava	Valdes priekšsēdētājs
Margarita Kolosova	2 Jaunā konservatīvā partija	Latgale	17	1978	Pašnodarbinātā	
Rihards Kols	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	2	1984	Latvijas Republikas Saeima	Deputāts
Igors Konašenkovs	3 Rīcības partija	Kurzeme	8	1959	SIA "COPs"	Apsargs
Roberts Kondrats	3 Rīcības partija	Rīga	26	1960	SIA Taxi SOS	vadītājs
Sergejs Konstantinovs	1 "Latvijas Krievu savienība"	Zemgale	7	1976	Morris Line Engineering	Augstsprieguma izolatoru ražošanas inženieris
Jurijs Kopasovs	8 No sirds Latvijai	Latgale	10	1947	Biedrība "Latgales un tūrisma centrs"	Valdes loceklis
Vjačeslavs Koreņugins	6 "Latvijas centriskā partija"	Vidzeme	5	1995	SIA TSC Autoduals	pardevējs-konsultānts
Tālis Korlašs	8 No sirds Latvijai	Latgale	2	1978	SIA " Tako SD"	Valdes priekšsēdētājs
Olga Korņeva	3 Rīcības partija	Vidzeme	6	1964	Ogres novada sociālais dienests	Sociālais darbinieks
Jāzeps Korsaks	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Latgale	6	1958	Daugavpils Reģionālā slimnīca	Ārsts narkologs
Elita Kosaka	1 "Latvijas Krievu savienība"	Kurzeme	1	1960	Saimnieciskās darbības veicēja	Juriste (privātprakse)
Kristaps Kosītis	15 Politiskā partija "KPV LV"	Vidzeme	8	1982	Sabiedrība ar ierobežotu atbildību "Netnet"	Valdes loceklis
Gusts Kossovičs	5 "PROGRESĪVIE"	Latgale	10	1990	Students/studente	
Mārtiņš Kossovičs	5 "PROGRESĪVIE"	Rīga	32	1980	Manaslecas.lv	Līdzīpašnieks
Pēteris Koškins	3 Rīcības partija	Vidzeme	2	1976	Pašnodarbinātais	Celtnieciba: namdaris
Ruslans Kovaļovs	3 Rīcības partija	Latgale	5	1975	SIA "KMK AUTO"	Valdes loceklis
Iļja Kozirevs	1 "Latvijas Krievu savienība"	Rīga	30	1966	SIA Comtel	tehniskais direktors
Andrejs Kozlovs	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	12	1992	SIA " Informa"	Valdes loceklis
Valerijs Kozlovs	16 Zaļo un Zemnieku savienība	Latgale	14	1957	SIA PEAT EXPORT LLC	Valdes priekšsēdētājs
Līga Kozlovska	16 Zaļo un Zemnieku savienība	Latgale	3	1957	LR Saeima	Deputāte
Rihards Kozlovskis	13 Jaunā VIENOTĪBA	Rīga	2	1969	Valsts kanceleja	Iekšlietu ministrs
Kristaps Krafte	10 Attīstībai/Par!	Rīga	36	1990	Students/studente	
Jānis Monvīds Kramēns	5 "PROGRESĪVIE"	Rīga	16	1952	Pensionārs	
Ieva Krapāne	15 Politiskā partija "KPV LV"	Vidzeme	5	1981	Reģionālā pašvaldības policija	Lietvede
Svetlana Krasovska	3 Rīcības partija	Vidzeme	5	1966	Latvijas pasts "Cekule"	nodaļas vadītāja
Maija Krastiņa	5 "PROGRESĪVIE"	Rīga	27	1981	Komunikāciju konsultante	
Ivars Krastiņš	16 Zaļo un Zemnieku savienība	Kurzeme	14	1955	Liepājas reģionālā slimnīca	Ārsts anesteziologs - reanimatologs, izglītības un zinātnes virsārsts
Margarita Krauča	7 "LSDSP/KDS/GKL"	Rīga	3	1945	SIA Rīgas veselības centrs	pediatre ar USG metodi
Inga Māra Kraukle	8 No sirds Latvijai	Rīga	15	1961	Rīgas 5. internātpamatskola-attīstības centrs	Skolotāja
Egils Kraulers	2 Jaunā konservatīvā partija	Kurzeme	10	1957	Izdienas pensionārs	
Armands Krauze	16 Zaļo un Zemnieku savienība	Vidzeme	3	1970	Saeima	deputāts
Inga Krauze	5 "PROGRESĪVIE"	Zemgale	7	1962	Jaunjelgavas vidusskola	Apkopēja
Jānis Kravalis	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	13	1979	SIA "TelCom"	Valdes priekšsēdētājs
Rolands Kreicmanis	15 Politiskā partija "KPV LV"	Rīga	20	1990	Sabiedrība ar ierobežotu atbildību "SALMO"	Pārdevējs konsultants
Oskars Kreilis	2 Jaunā konservatīvā partija	Kurzeme	7	1980	"Hornet.lv" SIA	Valdes priekšsēdētājs, zemes ierīcības inženieris
Līva Kreituse	2 Jaunā konservatīvā partija	Rīga	12	1987	Satiksmes ministrija	Vecākais referents
Ilze Krēsliņa	10 Attīstībai/Par!	Rīga	20	1967	Biedrība "Īrijas Kultūras centrs"	Valdes locekle
Kārlis Krēsliņš	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	7	1945	Latvijas Republikas Saeima	Deputāts
Pārsla Rigonda Krieviņa	16 Zaļo un Zemnieku savienība	Rīga	12	1964	LR Zemkopības ministrija	Valsts sekretāra vietniece
Jūlija Krilova	6 "Latvijas centriskā partija"	Rīga	6	1972	SIA "Biznesmost"	valdes priekšsēdētājs
Andris Kristkalns-Tauriņš	10 Attīstībai/Par!	Kurzeme	14	1982	Valsts Probācijas Dienests	Probācijas speciālists
Malda Kristovska	7 "LSDSP/KDS/GKL"	Latgale	3	1949	Latvijas Sociāldemokrātiskā Strādnieku partija	valdes locekle
